gene,disease
UBR1,Johanson-Blizzard Syndrome
UBR5,Neurodevelopmental Disorder With Speech Delay And Behavioral Abnormalities
UBR7,Li-Campeau Syndrome
UBTF,Childhood-Onset Motor And Cognitive Regression Syndrome With Extrapyramidal Movement Disorder
UCHL1,"Parkinson Disease 5, Autosomal Dominant, Susceptibility To"
UCHL1,"Spastic Paraplegia 79A, Autosomal Dominant, With Ataxia"
UCHL1,Early-Onset Progressive Neurodegeneration-Blindness-Ataxia-Spasticity Syndrome
UCP2,Body Mass Index Quantitative Trait Locus 4
UCP3,Inherited Obesity
UFC1,Neurodevelopmental Disorder With Spasticity And Poor Growth
UFM1,"Leukodystrophy, Hypomyelinating, 14"
UFSP2,"Spondyloepimetaphyseal Dysplasia, Di Rocco Type"
UFSP2,"Hip Dysplasia, Beukes Type"
UFSP2,Developmental And Epileptic Encephalopathy 106
UGDH,"Developmental And Epileptic Encephalopathy, 84"
UGGT1,"Congenital Disorder Of Glycosylation, Type Iicc"
UGP2,"Developmental And Epileptic Encephalopathy, 83"
UGT1A1,"Bilirubin, Serum Level Of, Quantitative Trait Locus 1"
UGT1A1,Belinostat Response
UGT1A1,Atazanavir Response
UGT1A1,"Crigler-Najjar Syndrome, Type Ii"
UGT1A1,Lucey-Driscoll Syndrome
UGT1A1,Crigler-Najjar Syndrome Type 1
UGT1A1,Gilbert Syndrome
UGT1A1,Irinotecan Response
UGT2B17,Bone Mineral Density Quantitative Trait Locus 12
UMOD,Familial Juvenile Hyperuricemic Nephropathy Type 1
UMPS,Hereditary Orotic Aciduria
UNC119,Cone-Rod Dystrophy 24
UNC119,Idiopathic Cd4 Lymphocytopenia
UNC13A,Intellectual Developmental Disorder With Seizures And Dysmorphic Facies
UNC13A,"Neurodevelopmental Disorder With Hypotonia, Epilepsy, And Absent Speech"
UNC13A,"Neurodevelopmental Disorder With Speech Delay, Movement Abnormalities, And Seizures"
UNC13D,Familial Hemophagocytic Lymphohistiocytosis 3
UNC45A,Osteootohepatoenteric Syndrome
UNC45B,Myofibrillar Myopathy 11
UNC45B,Cataract 43
UNC80,"Hypotonia, Infantile, With Psychomotor Retardation And Characteristic Facies 2"
UNC93B1,"Herpes Simplex Encephalitis, Susceptibility To, 1"
UNG,Hyper-Igm Syndrome Type 5
UPB1,Deficiency Of Beta-Ureidopropionase
UPF3B,Syndromic X-Linked Intellectual Disability 14
UQCC2,Mitochondrial Complex Iii Deficiency Nuclear Type 7
UQCC3,Mitochondrial Complex Iii Deficiency Nuclear Type 9
UQCRB,Mitochondrial Complex Iii Deficiency Nuclear Type 3
UQCRC1,Parkinsonism With Polyneuropathy
UQCRC2,Mitochondrial Complex Iii Deficiency Nuclear Type 5
UQCRFS1,"Mitochondrial Complex Iii Deficiency, Nuclear Type 10"
UQCRH,"Mitochondrial Complex Iii Deficiency, Nuclear Type 11"
UQCRQ,Mitochondrial Complex Iii Deficiency Nuclear Type 4
UROC1,Urocanate Hydratase Deficiency
UROD,Hepatoerythropoietic Porphyria
UROD,Familial Porphyria Cutanea Tarda
UROS,Cutaneous Porphyria
USB1,Poikiloderma With Neutropenia
USF1,"Hyperlipidemia, Combined, 1"
USH1C,Usher Syndrome Type 1C
USH1C,Usher Syndrome Type 1
USH1C,Hereditary Hearing Loss And Deafness
USH1C,Autosomal Recessive Nonsyndromic Hearing Loss 18A
USH1G,Usher Syndrome Type 1G
USH2A,Usher Syndrome Type 2A
USH2A,Retinitis Pigmentosa 39
USP18,Pseudo-Torch Syndrome 2
USP25,"Epilepsy, Idiopathic Generalized, Susceptibility To, 19"
USP26,"Spermatogenic Failure, X-Linked, 6"
USP27X,"Intellectual Disability, X-Linked 105"
USP45,Leber Congenital Amaurosis 19
USP48,"Hearing Loss, Autosomal Dominant 85"
USP53,"Cholestasis, Progressive Familial Intrahepatic, 7, With Or Without Hearing Loss"
USP7,Hao-Fountain Syndrome Due To Usp7 Mutation
USP8,Pituitary Dependent Hypercortisolism
USP9X,"Intellectual Disability, X-Linked 99, Syndromic, Female-Restricted"
USP9X,"Intellectual Disability, X-Linked 99"
USP9Y,"Spermatogenic Failure, Y-Linked, 2"
UVSSA,Uv-Sensitive Syndrome 3
VAC14,"Striatonigral Degeneration, Childhood-Onset"
VAMP1,"Myasthenic Syndrome, Congenital, 25, Presynaptic"
VAMP1,Spastic Ataxia 1
VAMP2,Neurodevelopmental Disorder With Hypotonia And Autistic Features With Or Without Hyperkinetic Movements
VANGL1,Sacral Defect With Anterior Meningocele
VANGL1,"Neural Tube Defects, Susceptibility To"
VANGL2,"Neural Tube Defects, Susceptibility To"
VAPB,Amyotrophic Lateral Sclerosis Type 8
VAPB,"Adult-Onset Proximal Spinal Muscular Atrophy, Autosomal Dominant"
VARS1,"Neurodevelopmental Disorder With Microcephaly, Seizures, And Cortical Atrophy"
VARS2,Combined Oxidative Phosphorylation Defect Type 20
VAX1,"Microphthalmia, Syndromic 11"
VAX1,Anophthalmia-Microphthalmia Syndrome
VCAN,Wagner Disease
VCL,Primary Dilated Cardiomyopathy
VCL,Dilated Cardiomyopathy 1W
VCL,Hypertrophic Cardiomyopathy 15
VCP,Charcot-Marie-Tooth Disease Type 2Y
VCP,Inclusion Body Myopathy With Paget Disease Of Bone And Frontotemporal Dementia Type 1
VCP,Frontotemporal Dementia And/Or Amyotrophic Lateral Sclerosis 6
VCP,Amyotrophic Lateral Sclerosis
VCP,Inclusion Body Myopathy With Paget Disease Of Bone And Frontotemporal Dementia
VCY,"Spermatogenic Failure, Y-Linked, 2"
VDR,Vitamin D-Dependent Rickets Type Ii With Alopecia
VEGFA,"Microvascular Complications Of Diabetes, Susceptibility To, 1"
VEGFC,Lymphatic Malformation 4
VEZF1,"Cardiomyopathy, Dilated, 100"
VHL,Chuvash Polycythemia
VHL,Von Hippel-Lindau Syndrome
VHL,Nonpapillary Renal Cell Carcinoma
VHL,Pheochromocytoma
VIM,Cataract 30
VIPAS39,"Arthrogryposis, Renal Dysfunction, And Cholestasis 2"
VKORC1,"Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, Type 2"
VKORC1,Warfarin Response
VLDLR,"Cerebellar Ataxia, Intellectual Disability, And Dysequilibrium Syndrome 1"
VMA12,Tmem199-Cdg
VMA21,X-Linked Myopathy With Excessive Autophagy
VMA22,Ccdc115-Cdg
VPS11,Hypomyelinating Leukodystrophy 12
VPS11,Dystonia 32
VPS13A,Chorea-Acanthocytosis
VPS13B,Cohen Syndrome
VPS13C,Autosomal Recessive Early-Onset Parkinson Disease 23
VPS13D,Autosomal Recessive Cerebellar Ataxia-Saccadic Intrusion Syndrome
VPS16,Dystonia 30
VPS16,Dystonic Disorder
VPS33A,Mucopolysaccharidosis-Plus Syndrome
VPS33B,"Cholestasis, Progressive Familial Intrahepatic, 12"
VPS33B,"Keratoderma-Ichthyosis-Deafness Syndrome, Autosomal Recessive"
VPS33B,"Arthrogryposis, Renal Dysfunction, And Cholestasis 1"
VPS35,Parkinson Disease 17
VPS35L,Ritscher-Schinzel Syndrome 3
VPS37A,Hereditary Spastic Paraplegia 53
VPS41,"Spinocerebellar Ataxia, Autosomal Recessive 29"
VPS45,Congenital Neutropenia-Myelofibrosis-Nephromegaly Syndrome
VPS4A,Cerebellar Hypoplasia-Intellectual Disability-Congenital Microcephaly-Dystonia-Anemia-Growth Retardation Syndrome
VPS4B,"Dentin Dysplasia, Type Ib"
VPS50,"Neurodevelopmental Disorder With Microcephaly, Seizures, And Neonatal Cholestasis"
VPS51,"Pontocerebellar Hypoplasia, Type 13"
VPS53,Pontocerebellar Hypoplasia Type 2E
VRK1,Pontocerebellar Hypoplasia Type 1A
VRK1,"Neuronopathy, Distal Hereditary Motor, Autosomal Recessive 10"
VSX1,Craniofacial Anomalies And Anterior Segment Dysgenesis Syndrome
VSX1,Keratoconus 1
VSX2,"Microphthalmia, Isolated, With Coloboma 3"
VSX2,Isolated Microphthalmia 2
VWA1,"Neuronopathy, Distal Hereditary Motor, Autosomal Recessive 7"
VWA3B,"Spinocerebellar Ataxia, Autosomal Recessive 22"
VWA8,Retinitis Pigmentosa 97
VWF,Von Willebrand Disease Type 3
VWF,Von Willebrand Disease Type 1
VWF,Von Willebrand Disease Type 2
WAC,Desanto-Shinawi Syndrome Due To Wac Point Mutation
WARS1,"Neuronopathy, Distal Hereditary Motor, Type 9"
WARS1,Charcot-Marie-Tooth Disease
WARS1,"Neurodevelopmental Disorder With Microcephaly And Speech Delay, With Or Without Brain Abnormalities"
WARS2,"Neurodevelopmental Disorder, Mitochondrial, With Abnormal Movements And Lactic Acidosis, With Or Without Seizures"
WARS2,"Parkinsonism-Dystonia 3, Childhood-Onset"
WAS,Wiskott-Aldrich Syndrome
WAS,Thrombocytopenia 1
WAS,X-Linked Severe Congenital Neutropenia
WASF1,Neurodevelopmental Disorder With Absent Language And Variable Seizures
WASHC4,"Intellectual Disability, Autosomal Recessive 43"
WASHC5,Hereditary Spastic Paraplegia 8
WASHC5,Ritscher-Schinzel Syndrome 1
WBP11,"Vertebral, Cardiac, Tracheoesophageal, Renal, And Limb Defects"
WBP4,"Neurodevelopmental Disorder With Hypotonia, Feeding Difficulties, Facial Dysmorphism, And Brain Abnormalities"
WDFY3,"Microcephaly 18, Primary, Autosomal Dominant"
WDPCP,Bardet-Biedl Syndrome 15
WDPCP,Heart Defect - Tongue Hamartoma - Polysyndactyly Syndrome
WDR1,Lazy Leukocyte Syndrome
WDR11,Hypogonadotropic Hypogonadism 14 With Or Without Anosmia
WDR11,"Intellectual Developmental Disorder, Autosomal Recessive 78"
WDR11,Hypogonadotropic Hypogonadism 7 With Or Without Anosmia
WDR19,Senior-Loken Syndrome 8
WDR19,Asphyxiating Thoracic Dystrophy 5
WDR19,Cranioectodermal Dysplasia 4
WDR19,Nephronophthisis
WDR19,Nephronophthisis 13
WDR19,Spermatogenic Failure 72
WDR26,Skraban-Deardorff Syndrome
WDR35,Cranioectodermal Dysplasia 2
WDR35,Short-Rib Thoracic Dysplasia 7 With Or Without Polydactyly
WDR36,"Glaucoma 1, Open Angle, G"
WDR37,Neurooculocardiogenitourinary Syndrome
WDR4,"Microcephaly, Growth Deficiency, Seizures, And Brain Malformations"
WDR4,Galloway-Mowat Syndrome 6
WDR45,Neurodegeneration With Brain Iron Accumulation
WDR45,Neurodegeneration With Brain Iron Accumulation 5
WDR45B,Neurodevelopmental Disorder With Spastic Quadriplegia And Brain Abnormalities With Or Without Seizures
WDR62,"Microcephaly 2, Primary, Autosomal Recessive, With Or Without Cortical Malformations"
WDR72,Amelogenesis Imperfecta Hypomaturation Type 2A3
WDR73,Galloway-Mowat Syndrome 1
WDR81,"Hydrocephalus, Congenital, 3, With Brain Anomalies"
WDR81,"Cerebellar Ataxia, Intellectual Disability, And Dysequilibrium Syndrome 2"
WDR83OS,Neurodevelopmental Disorder With Variable Familial Hypercholanemia
WEE2,Oocyte Maturation Defect 5
WFDC2,Bronchiectasis And Nasal Polyposis
WFS1,Type 2 Diabetes Mellitus
WFS1,Wolfram-Like Syndrome
WFS1,Hereditary Hearing Loss And Deafness
WFS1,Cataract 41
WFS1,Autosomal Dominant Nonsyndromic Hearing Loss 6
WFS1,Wolfram Syndrome 1
WHCR,4P Partial Monosomy Syndrome
WHRN,Hereditary Hearing Loss And Deafness
WHRN,Usher Syndrome Type 2D
WHRN,Autosomal Recessive Nonsyndromic Hearing Loss 31
WIPF1,Wiskott-Aldrich Syndrome 2
WIPI2,Intellectual Developmental Disorder With Short Stature And Variable Skeletal Anomalies
WLS,Zaki Syndrome
WNK1,Hereditary Sensory And Autonomic Neuropathy Type 2
WNK1,"Pseudohypoaldosteronism, Type 2"
WNK1,Pseudohypoaldosteronism Type 2C
WNK1,"Neuropathy, Hereditary Sensory And Autonomic, Type 2A"
WNK3,Prieto Syndrome
WNK4,Pseudohypoaldosteronism Type 2B
WNK4,"Pseudohypoaldosteronism, Type 2"
WNT1,Osteogenesis Imperfecta Type 15
WNT1,"Osteoporosis, Early-Onset, Susceptibility To"
WNT10A,Odonto-Onycho-Dermal Dysplasia
WNT10A,Schöpf-Schulz-Passarge Syndrome
WNT10A,"Tooth Agenesis, Selective, 4"
WNT10B,"Tooth Agenesis, Selective, 8"
WNT10B,Split Hand-Foot Malformation 6
WNT2B,Diarrhea 9
WNT3,Tetraamelia Syndrome 1
WNT4,Serkal Syndrome
WNT4,Mullerian Aplasia And Hyperandrogenism
WNT5A,Autosomal Dominant Robinow Syndrome 1
WNT7A,Fuhrmann Syndrome
WNT7A,Schinzel Phocomelia Syndrome
WNT7A,Santos Syndrome
WRAP53,"Dyskeratosis Congenita, Autosomal Recessive 3"
WRN,Werner Syndrome
WT1,Drash Syndrome
WT1,Frasier Syndrome
WT1,Aniridia 1
WT1,"Nephrotic Syndrome, Type 4"
WT1,Meacham Syndrome
WT1,Congenital Aniridia
WT1,11P Partial Monosomy Syndrome
WT1,"Mesothelioma, Malignant"
WT1,Wilms Tumor 1
WWC1,Memory Quantitative Trait Locus
WWOX,Malignant Tumor Of Esophagus
WWOX,"Developmental And Epileptic Encephalopathy, 28"
WWOX,Autosomal Recessive Spinocerebellar Ataxia 12
XBP1,Major Affective Disorder 7
XDH,Hereditary Xanthinuria Type 1
XIAP,X-Linked Lymphoproliferative Syndrome
XIAP,X-Linked Lymphoproliferative Disease Due To Xiap Deficiency
XIAP,X-Linked Lymphoproliferative Disease Due To Sh2D1A Deficiency
XIST,"X Inactivation, Familial Skewed, 1"
XK,Mcleod Neuroacanthocytosis Syndrome
XKRY,"Spermatogenic Failure, Y-Linked, 2"
XPA,Xeroderma Pigmentosum Group A
XPC,"Xeroderma Pigmentosum, Group C"
XPNPEP2,Susceptibility To Angioedema Induced By Ace Inhibitors
XPNPEP3,Nephronophthisis
XPNPEP3,Nephronophthisis-Like Nephropathy 1
XPR1,"Basal Ganglia Calcification, Idiopathic, 6"
XPR1,Idiopathic Basal Ganglia Calcification 1
XRCC1,"Spinocerebellar Ataxia, Autosomal Recessive 26"
XRCC2,Premature Ovarian Failure 17
XRCC2,Spermatogenic Failure 50
XRCC2,Fanconi Anemia Complementation Group U
XRCC3,Familial Cancer Of Breast
XRCC3,"Melanoma, Cutaneous Malignant, Susceptibility To, 6"
XRCC4,"Short Stature, Microcephaly, And Endocrine Dysfunction"
XYLT1,Autosomal Recessive Inherited Pseudoxanthoma Elasticum
XYLT1,Desbuquois Dysplasia 2
XYLT2,Autosomal Recessive Inherited Pseudoxanthoma Elasticum
XYLT2,Spondylo-Ocular Syndrome
YAP1,Uveal Coloboma-Cleft Lip And Palate-Intellectual Disability
YARS1,Charcot-Marie-Tooth Disease Dominant Intermediate C
YARS1,"Neurologic, Endocrine, And Pancreatic Disease, Multisystem, Infantile-Onset 2"
YARS1,Charcot-Marie-Tooth Disease
YARS2,"Myopathy, Lactic Acidosis, And Sideroblastic Anemia 2"
YEATS2,"Epilepsy, Familial Adult Myoclonic, 4"
YIF1B,Kaya-Barakat-Masson Syndrome
YIPF5,"Microcephaly, Epilepsy, And Diabetes Syndrome 2"
YME1L1,Optic Atrophy 11
YRDC,Galloway-Mowat Syndrome 10
YWHAG,"Developmental And Epileptic Encephalopathy, 56"
YWHAZ,Popov-Chang Syndrome
YY1,Gabriele De Vries Syndrome
YY1AP1,Grange Syndrome
ZAP70,Combined Immunodeficiency Due To Zap70 Deficiency
ZAP70,"Autoimmune Disease, Multisystem, Infantile-Onset, 2"
ZBTB11,"Intellectual Developmental Disorder, Autosomal Recessive 69"
ZBTB18,"Intellectual Disability, Autosomal Dominant 22"
ZBTB20,Primrose Syndrome
ZBTB24,Immunodeficiency-Centromeric Instability-Facial Anomalies Syndrome 2
ZBTB42,Lethal Congenital Contracture Syndrome 6
ZBTB7A,"Macrocephaly, Neurodevelopmental Delay, Lymphoid Hyperplasia, And Persistent Fetal Hemoglobin"
ZC3H14,"Intellectual Disability, Autosomal Recessive 56"
ZC4H2,"Wieacker-Wolff Syndrome, Female-Restricted"
ZC4H2,Wieacker-Wolff Syndrome
ZCCHC8,"Pulmonary Fibrosis And/Or Bone Marrow Failure, Telomere-Related, 5"
ZDHHC9,Syndromic X-Linked Intellectual Disability Raymond Type
ZEB1,Posterior Polymorphous Corneal Dystrophy 3
ZEB1,"Corneal Dystrophy, Fuchs Endothelial, 6"
ZEB2,Mowat-Wilson Syndrome
ZFAT,"Autoimmune Thyroid Disease, Susceptibility To, 3"
ZFHX2,"Indifference To Pain, Congenital, Autosomal Dominant"
ZFHX3,"Atrial Fibrillation, Familial, 8"
ZFHX3,Spinocerebellar Ataxia Type 4
ZFHX3,Familial Prostate Cancer
ZFHX3,"Epilepsy, Idiopathic Generalized 20"
ZFP36L2,Oocyte Maturation Defect 13
ZFP57,"Diabetes Mellitus, Transient Neonatal, 1"
ZFPM2,Tetralogy Of Fallot
ZFPM2,"46,Xy Sex Reversal 9"
ZFPM2,Diaphragmatic Hernia 3
ZFX,"Intellectual Developmental Disorder, X-Linked, Syndromic 37"
ZFYVE19,"Cholestasis, Progressive Familial Intrahepatic, 9"
ZFYVE26,Hereditary Spastic Paraplegia 15
ZIC1,Structural Brain Anomalies With Impaired Intellectual Development And Craniosynostosis
ZIC1,Craniosynostosis 6
ZIC2,Holoprosencephaly 5
ZIC2,Holoprosencephaly Sequence
ZIC3,"Heterotaxy, Visceral, 1, X-Linked"
ZIC3,"Vacterl Association, X-Linked, With Or Without Hydrocephalus"
ZMIZ1,Neurodevelopmental Disorder With Dysmorphic Facies And Distal Skeletal Anomalies
ZMPSTE24,Mandibuloacral Dysplasia With Type B Lipodystrophy
ZMPSTE24,Restrictive Dermopathy 1
ZMYM2,Neurodevelopmental-Craniofacial Syndrome With Variable Renal And Cardiac Abnormalities
ZMYM3,"Intellectual Developmental Disorder, X-Linked 112"
ZMYND10,Primary Ciliary Dyskinesia 22
ZMYND11,"Intellectual Disability, Autosomal Dominant 30"
ZMYND15,Spermatogenic Failure 14
ZNF141,"Polydactyly, Postaxial, Type A6"
ZNF142,Neurodevelopmental Disorder With Impaired Speech And Hyperkinetic Movements
ZNF143,Disorders Of Intracellular Cobalamin Metabolism
ZNF148,"Global Developmental Delay, Absent Or Hypoplastic Corpus Callosum, And Dysmorphic Facies"
ZNF292,"Intellectual Developmental Disorder, Autosomal Dominant 64"
ZNF335,Microcephalic Primordial Dwarfism Due To Znf335 Deficiency
ZNF341,"Hyper-Ige Recurrent Infection Syndrome 3, Autosomal Recessive"
ZNF365,"Nephrolithiasis, Uric Acid, Susceptibility To"
ZNF407,"Short Stature, Impaired Intellectual Development, Microcephaly, Hypotonia, And Ocular Anomalies"
ZNF408,Retinitis Pigmentosa 72
ZNF408,Exudative Vitreoretinopathy 6
ZNF423,Nephronophthisis 14
ZNF423,Nephronophthisis
ZNF462,Weiss-Kruszka Syndrome
ZNF469,Brittle Cornea Syndrome 1
ZNF513,Retinitis Pigmentosa 58
ZNF526,Dentici-Novelli Neurodevelopmental Syndrome
ZNF644,"Myopia 21, Autosomal Dominant"
ZNF668,"Neurodevelopmental Disorder With Poor Growth, Large Ears, And Dysmorphic Facies"
ZNF687,Paget Disease Of Bone 6
ZNF699,Degcags Syndrome
ZNF711,"Intellectual Disability, X-Linked 97"
ZNF750,Seborrhea-Like Dermatitis With Psoriasiform Elements
ZNF808,Pancreatic Agenesis 3
ZNF862,"Fibromatosis, Gingival, 6"
ZNFX1,Immunodeficiency 91 And Hyperinflammation
ZNHIT3,Peho Syndrome
ZP1,Female Infertility Due To Zona Pellucida Defect
ZP2,Oocyte Maturation Defect 6
ZP3,Oocyte Maturation Defect 3
ZPBP,Spermatogenic Failure 66
ZPR1,"Growth Restriction, Hypoplastic Kidneys, Alopecia, And Distinctive Facies"
ZRS,"Tibia, Hypoplasia Or Aplasia Of, With Polydactyly"
ZRS,Polydactyly Of A Triphalangeal Thumb
ZRSR2,Orofaciodigital Syndrome 21
ZSCAN10,Otofacial Neurodevelopmental Syndrome
ZSWIM6,Acromelic Frontonasal Dysostosis
ZSWIM6,"Neurodevelopmental Disorder With Movement Abnormalities, Abnormal Gait, And Autistic Features"
ZSWIM7,Ovarian Dysgenesis 10
ZSWIM7,Spermatogenic Failure 71
AAGAB,Punctate Palmoplantar Keratoderma Type 1
AARS1,Charcot-Marie-Tooth Disease Type 2
AARS2,Vanishing White Matter Disease
AARS2,Ovarioleukodystrophy
AARS2,Combined Oxidative Phosphorylation Deficiency
ABCA1,Familial Hypoalphalipoproteinemia
ABCA12,Congenital Ichthyosis Of Skin
ABCA3,Hereditary Pulmonary Alveolar Proteinosis
ABCA4,Retinitis Pigmentosa
ABCA4,Stargardt Disease
ABCA4,Age-Related Macular Degeneration
ABCA7,Alzheimer Disease
ABCC6,Arterial Calcification Of Infancy
ABCC6,Pseudoxanthoma Elasticum
ABCC6,Inherited Pseudoxanthoma Elasticum
ABCC8,Neonatal Diabetes Mellitus
ABCC8,Familial Hyperinsulinism
ABCC8,Transitory Neonatal Diabetes Mellitus
ABCC9,Cardiomyopathy
ABCC9,Primary Familial Dilated Cardiomyopathy
ABCC9,Atrial Fibrillation
ABCD3,Oculopharyngodistal Myopathy
ABCD4,Methylmalonic Aciduria And Homocystinuria
ACADM,Disorder Of Fatty Acid Metabolism
ACADVL,Disorder Of Fatty Acid Metabolism
ACAT1,Disorder Of Organic Acid Metabolism
ACE,"Microvascular Complications Of Diabetes, Susceptibility"
ACE,Renal Tubular Dysgenesis
ACP5,Spondylometaphyseal Dysplasia
ACP5,Type 2 Collagenopathy
ACTA1,Nemaline Myopathy
ACTA2,Moyamoya Disease
ACTB,Baraitser-Winter Syndrome
ACTC1,Primary Familial Dilated Cardiomyopathy
ACTC1,Cardiomyopathy
ACTC1,Atrial Septal Defect
ACTG1,Baraitser-Winter Syndrome
ACTG1,Autosomal Dominant Nonsyndromic Hearing Loss
ACTG1,Nonsyndromic Genetic Hearing Loss
ACTG2,"Megacystis, Microcolon, Hypoperistalsis Syndrome"
ACTG2,Hereditary Hollow Viscus Myopathy
ACTN2,Primary Familial Dilated Cardiomyopathy
ACTN2,Cardiomyopathy
ACTN4,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
ACTN4,Inherited Focal Segmental Glomerulosclerosis
ACTN4,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
ACTN4,Focal Segmental Glomerulosclerosis
ACVR1B,Carcinoma Of Pancreas
ACVRL1,Hereditary Hemorrhagic Telangiectasia
ADA,Severe Combined Immunodeficiency Disease
ADAMTS10,Weill-Marchesani Syndrome
ADAMTS17,Weill-Marchesani Syndrome
ADAMTS19,Cardiac Valvular Defect
ADAMTS2,"Ehlers-Danlos Syndrome, Arthrochalasia Type"
ADAMTS2,Ehlers-Danlos Syndrome
ADAMTSL4,Isolated Ectopia Lentis
ADAMTSL4,Ectopia Lentis
ADAR,Aicardi Goutieres Syndrome
ADCY1,Nonsyndromic Genetic Hearing Loss
ADCY1,"Nonsyndromic Hearing Loss And Deafness, Autosomal Recessive"
ADCY1,Hereditary Hearing Loss And Deafness
ADD1,Essential Hypertension
ADGRG1,Congenital Bilateral Perisylvian Syndrome
ADH1C,Parkinson Disease
ADRA2A,Familial Partial Lipodystrophy
ADRB3,Obesity
AGL,Glycogen Storage Disease
AGPAT2,Congenital Generalized Lipodystrophy
AGPAT2,Berardinelli-Seip Congenital Lipodystrophy
AGRP,Obesity
AGT,Renal Tubular Dysgenesis
AGTR1,Renal Tubular Dysgenesis
AGTR1,Essential Hypertension
AGXT,Primary Hyperoxaluria
AGXT,Alanine Glyoxylate Aminotransferase Deficiency
AHI1,Joubert Syndrome
AIFM1,Charcot-Marie-Tooth Neuropathy X
AIFM1,Combined Oxidative Phosphorylation Deficiency
AIP,Cushing Syndrome
AIP,Acth-Dependent Cushing Syndrome
AIPL1,Leber Congenital Amaurosis
AKAP9,Long Qt Syndrome
AKAP9,Congenital Long Qt Syndrome
AKT1,Pten Hamartoma Tumor Syndrome
AKT1,Neoplasm Of The Genitourinary Tract
AKT1,Malignant Tumor Of Breast
AKT1,Breast Neoplasm
AKT1,Ovarian Neoplasm
AKT1,Neoplasm Of The Large Intestine
ALDH18A1,"Cutis Laxa, Autosomal Recessive"
ALDH18A1,"Cutis Laxa, Autosomal Dominant"
ALDOA,Glycogen Storage Disease
ALG1,Congenital Disorder Of Glycosylation
ALG10B,Congenital Long Qt Syndrome
ALG10B,Long Qt Syndrome
ALG11,Congenital Disorder Of Glycosylation
ALG12,Congenital Disorder Of Glycosylation
ALG2,Congenital Disorder Of Glycosylation
ALG3,Congenital Disorder Of Glycosylation
ALG6,Congenital Disorder Of Glycosylation
ALG8,Congenital Disorder Of Glycosylation
ALG9,Congenital Disorder Of Glycosylation
ALK,Neuroblastoma
ALOX12B,Congenital Ichthyosis Of Skin
ALOXE3,Congenital Ichthyosis Of Skin
ALS2,Amyotrophic Lateral Sclerosis
ALS2,Juvenile Amyotrophic Lateral Sclerosis
ALX4,Cranium Bifidum Occultum
AMBN,Amelogenesis Imperfecta
AMBN,Amelogenesis Imperfecta Type 1
AMELX,Amelogenesis Imperfecta
AMPD1,Metabolic Myopathy
AMPD2,Pontoneocerebellar Hypoplasia
AMTN,Amelogenesis Imperfecta
AMTN,"Amelogenesis Imperfecta, Hypocalcification Type"
ANG,Amyotrophic Lateral Sclerosis
ANK1,Hereditary Spherocytosis
ANKRD1,Cardiomyopathy
ANLN,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
ANLN,Focal Segmental Glomerulosclerosis
ANLN,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
ANLN,Inherited Focal Segmental Glomerulosclerosis
ANO1,Moyamoya Disease
ANO5,Limb-Girdle Muscular Dystrophy
ANO5,Autosomal Recessive Limb-Girdle Muscular Dystrophy
ANOS1,Hypogonadism With Anosmia
AP2M1,Epilepsy With Myoclonic Atonic Seizures
AP3B1,Hermansky-Pudlak Syndrome
AP3D1,Hermansky-Pudlak Syndrome
APC,Desmoid Tumor
APC,Neoplasm Of Stomach
APC,Neoplasm Of The Large Intestine
APOA1,Familial Amyloid Neuropathy
APOA1,Familial Hypoalphalipoproteinemia
APOA1,"Amyloidosis, Hereditary Systemic"
APOA2,Hyperlipoproteinemia
APOA2,Familial Hypercholesterolemia
APOA5,Hyperlipoproteinemia
APOC2,Chylomicronemia Syndrome
APOC2,Familial Chylomicronemia Syndrome
APOE,Early-Onset Autosomal Dominant Alzheimer Disease
APOE,Hyperlipoproteinemia
APOE,Alzheimer Disease
APOE,Age-Related Macular Degeneration
APOL1,"Hereditary Nephrotic Syndromes, Autosomal Dominant"
APOL1,Familial Idiopathic Steroid-Resistant Nephrotic Syndrome
APOL1,Inherited Focal Segmental Glomerulosclerosis
APOL1,Focal Segmental Glomerulosclerosis
APP,Early-Onset Autosomal Dominant Alzheimer Disease
AQP2,Nephrogenic Diabetes Insipidus
ARFGEF2,Periventricular Nodular Heterotopia
ARHGAP26,Rasopathy
ARHGAP31,Adams-Oliver Syndrome
ARHGEF9,Hyperekplexia
ARL13B,Joubert Syndrome
ARL6,Bardet-Biedl Syndrome
ARMC5,Acth-Independent Cushing Syndrome
ARMC5,Cushing Syndrome Due To Macronodular Adrenal Hyperplasia
ARMC5,Cushing Syndrome
ARMS2,Age-Related Macular Degeneration
ARX,Lissencephaly
ARX,Malformation Of Cortical Development
ASB10,Glaucoma
ASL,Disorder Of Amino Acid Metabolism
ASPA,Ashkenazi Jewish Disorders
ASPM,Autosomal Recessive Primary Microcephaly
ASS1,Disorder Of Amino Acid Metabolism
ASS1,Citrullinemia
ASTL,Inherited Oocyte Maturation Defect
ATAD1,Hereditary Hyperekplexia
ATAD1,Hyperekplexia
ATM,Breast Neoplasm
ATM,Malignant Tumor Of Breast
